held_out_cycle,comparison_id,comparison_label,model_id,model_family,generic_ballot_coefficient,approval_coefficient,midterm_coefficient,held_out_observations,races,mae,rmse,mean_error_dem,brier,winner_accuracy,mean_error,absolute_mean_error
2012,fixed_generic_0_90,"Fixed generic ballot only, GB=0.90",custom__generic_only__gb_0.90__approval_0.00__midterm_0.00,generic_only,0.9,0.0,0.0,32,32,10.233851287834128,13.348819455708954,-1.4201586774533534,0.11340720703764273,0.84375,-1.4201586774533534,1.4201586774533534
2012,fold_selected,Training-fold selected model,generic_only__gb_p0_90__approval_p0_00__midterm_p0_00,generic_only,0.9,0.0,0.0,32,32,10.233851287834128,13.348819455708954,-1.4201586774533534,0.11340720703764273,0.84375,-1.4201586774533534,1.4201586774533534
2012,legacy_full_environment,"Legacy environment, GB=1.00 / approval=0.50 / midterm=0.50",custom__generic_plus_approval_plus_midterm__gb_1.00__approval_0.50__midterm_0.50,generic_plus_approval_plus_midterm,1.0,0.5,0.5,32,32,10.120205261097563,13.27587767614375,-0.2734920107866863,0.10481282675611725,0.875,-0.2734920107866863,0.2734920107866863
2014,fixed_generic_0_90,"Fixed generic ballot only, GB=0.90",custom__generic_only__gb_0.90__approval_0.00__midterm_0.00,generic_only,0.9,0.0,0.0,35,35,8.001189970943946,11.787416259715778,1.438725249126256,0.0663724725627096,0.9142857142857143,1.438725249126256,1.438725249126256
2014,fold_selected,Training-fold selected model,generic_plus_approval_plus_midterm__gb_p0_75__approval_p0_20__midterm_p1_00,generic_plus_approval_plus_midterm,0.75,0.2,1.0,35,35,8.116817042295319,11.984432596405423,2.598725249126256,0.06884910647451564,0.9142857142857143,2.598725249126256,2.598725249126256
2014,legacy_full_environment,"Legacy environment, GB=1.00 / approval=0.50 / midterm=0.50",custom__generic_plus_approval_plus_midterm__gb_1.00__approval_0.50__midterm_0.50,generic_plus_approval_plus_midterm,1.0,0.5,0.5,35,35,7.98061854237252,11.76053544530313,1.1987252491262566,0.06599639509456448,0.9142857142857143,1.1987252491262566,1.1987252491262566
2016,fixed_generic_0_90,"Fixed generic ballot only, GB=0.90",custom__generic_only__gb_0.90__approval_0.00__midterm_0.00,generic_only,0.9,0.0,0.0,33,33,10.997182044777825,15.627717281489511,6.923650110851862,0.09209576799770015,0.8484848484848485,6.923650110851862,6.923650110851862
2016,fold_selected,Training-fold selected model,generic_plus_approval_plus_midterm__gb_p0_70__approval_p1_00__midterm_m0_20,generic_plus_approval_plus_midterm,0.7,1.0,-0.2,33,33,12.328328043747652,16.910810638145524,9.470316777518528,0.11627054942729266,0.8181818181818182,9.470316777518528,9.470316777518528
2016,legacy_full_environment,"Legacy environment, GB=1.00 / approval=0.50 / midterm=0.50",custom__generic_plus_approval_plus_midterm__gb_1.00__approval_0.50__midterm_0.50,generic_plus_approval_plus_midterm,1.0,0.5,0.5,33,33,11.714959822555603,16.292968734503777,8.316983444185196,0.10483576470160695,0.8484848484848485,8.316983444185196,8.316983444185196
2018,fixed_generic_0_90,"Fixed generic ballot only, GB=0.90",custom__generic_only__gb_0.90__approval_0.00__midterm_0.00,generic_only,0.9,0.0,0.0,33,33,7.580532302515579,11.13358497782759,-3.8580918645652833,0.1024455872600623,0.8787878787878788,-3.8580918645652833,3.8580918645652833
2018,fold_selected,Training-fold selected model,generic_plus_approval_plus_midterm__gb_p0_45__approval_p0_00__midterm_m0_60,generic_plus_approval_plus_midterm,0.45,0.0,-0.6,33,33,9.764910864151805,13.001050467026904,-7.743091864565284,0.1212064450494448,0.8484848484848485,-7.743091864565284,7.743091864565284
2018,legacy_full_environment,"Legacy environment, GB=1.00 / approval=0.50 / midterm=0.50",custom__generic_plus_approval_plus_midterm__gb_1.00__approval_0.50__midterm_0.50,generic_plus_approval_plus_midterm,1.0,0.5,0.5,33,33,7.247020487700425,10.596839142334531,-1.7947585312319507,0.09882655347641503,0.9090909090909091,-1.7947585312319507,1.7947585312319507
2020,fixed_generic_0_90,"Fixed generic ballot only, GB=0.90",custom__generic_only__gb_0.90__approval_0.00__midterm_0.00,generic_only,0.9,0.0,0.0,33,33,5.877790052014099,9.438402405505926,3.1860150278252233,0.06080306856769892,0.9090909090909091,3.1860150278252233,3.1860150278252233
2020,fold_selected,Training-fold selected model,generic_plus_approval_plus_midterm__gb_p1_00__approval_p0_00__midterm_m0_60,generic_plus_approval_plus_midterm,1.0,0.0,-0.6,33,33,6.166830083042412,9.689108339063113,3.8660150278252217,0.06371419290143657,0.9090909090909091,3.8660150278252217,3.8660150278252217
2020,legacy_full_environment,"Legacy environment, GB=1.00 / approval=0.50 / midterm=0.50",custom__generic_plus_approval_plus_midterm__gb_1.00__approval_0.50__midterm_0.50,generic_plus_approval_plus_midterm,1.0,0.5,0.5,33,33,6.091072507284836,9.623820785319019,3.6993483611585547,0.06295550109867948,0.9090909090909091,3.6993483611585547,3.6993483611585547
2022,fixed_generic_0_90,"Fixed generic ballot only, GB=0.90",custom__generic_only__gb_0.90__approval_0.00__midterm_0.00,generic_only,0.9,0.0,0.0,34,34,6.365000535565088,9.254462558131605,2.105650964218605,0.04778227789885189,0.9411764705882353,2.105650964218605,2.105650964218605
2022,fold_selected,Training-fold selected model,generic_plus_approval_plus_midterm__gb_p0_75__approval_p0_00__midterm_p1_00,generic_plus_approval_plus_midterm,0.75,0.0,1.0,34,34,6.642647594388617,9.592018219093191,3.2856509642186054,0.045836955526219164,0.9705882352941176,3.2856509642186054,3.2856509642186054
2022,legacy_full_environment,"Legacy environment, GB=1.00 / approval=0.50 / midterm=0.50",custom__generic_plus_approval_plus_midterm__gb_1.00__approval_0.50__midterm_0.50,generic_plus_approval_plus_midterm,1.0,0.5,0.5,34,34,6.315836678287608,9.203500071235986,1.868984297551937,0.048380034369744536,0.9117647058823529,1.868984297551937,1.868984297551937
2024,fixed_generic_0_90,"Fixed generic ballot only, GB=0.90",custom__generic_only__gb_0.90__approval_0.00__midterm_0.00,generic_only,0.9,0.0,0.0,34,34,5.4946378597720695,7.393982303015805,2.70860984545106,0.04103583124580099,0.9705882352941176,2.70860984545106,2.70860984545106
2024,fold_selected,Training-fold selected model,generic_plus_approval__gb_p0_75__approval_p0_20__midterm_p0_00,generic_plus_approval,0.75,0.2,0.0,34,34,5.390324134281874,7.315688168377512,2.4869431787843923,0.041568015404358186,0.9411764705882353,2.4869431787843923,2.4869431787843923
2024,legacy_full_environment,"Legacy environment, GB=1.00 / approval=0.50 / midterm=0.50",custom__generic_plus_approval_plus_midterm__gb_1.00__approval_0.50__midterm_0.50,generic_plus_approval_plus_midterm,1.0,0.5,0.5,34,34,5.184983714154237,7.168146368280543,2.0119431787843935,0.042911029465064046,0.9117647058823529,2.0119431787843935,2.0119431787843935
